Stanley Park,2000 W Georgia Street,Washroom in Park,Service yard,Mon - Fri 7:00 am - 3:30 pm,Mon - Fri 7:00 am - 3:30 pm,Yes,Wheelchair accessible,49.29994004,-123.136683,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Totems,5:30 am - Dusk,7:30 am - Dusk,Yes,Wheelchair accessible,49.29944002,-123.121278,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Train; Picnic Shelter,5:30 am - Dusk,9:00 am - Dusk,Yes,Wheelchair accessible,49.302069,-123.132923,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Brockton Oval,5:30 am - Dusk,5:30 am - Dusk,Yes,Wheelchair accessible,49.29962596,-123.126023,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Park Board Main office,Weekdays only 8:30 am - 5:00 pm,Weekdays only 8:30 am - 5:00 pm,Yes,Wheelchair accessible,49.29086697,-123.145355,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,2nd Beach; fieldhouse,7:00 am - Dusk,7:00 am - Dusk,Yes,Wheelchair accessible,49.29562699,-123.150733,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,3rd Beach; fieldhouse,7:00 am - Dusk,7:00 am - Dusk,Yes; at parking lot level,Wheelchair accessible at parking lot level,49.30315299,-123.155931,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Aquarium plaza,7:00 am - Dusk,7:00 am - Dusk,Yes,Wheelchair accessible,49.299868,-123.1307,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Ceperley Picnic Shelter,May 1- Sept 30  7:00 am - Dusk,Closed,Yes,Wheelchair accessible,49.29361699,-123.148715,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Chilco,8:00 am - Dusk,10:00 am - Dusk,Yes,Wheelchair accessible,49.29392204,-123.138591,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Fish House,7:00 am - Dusk,10:00 am - Dusk,Yes; key available at Pitch and Putt ticket booth,Key to accessible washroom on west side of Fish House available at Pitch and Putt Golf Course ticket booth,49.29229302,-123.14658,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Info Booth,7:00 am - Dusk,10:00 am - Dusk,Yes,Wheelchair accessible,49.29775301,-123.131433,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Lumberman's Arch,5:30 am - Dusk,5:30 am - Dusk,Yes,Wheelchair accessible,49.30292598,-123.130708,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Pavilion,5:30 am - Dusk,7:00 am - Dusk,Yes; entered from parking lot level,Accessible washroom entered from parking lot level; to the left side of the building.,49.29954903,-123.134051,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Pitch & Putt Golf Course,9:00 am - Dusk,9:00 am - Dusk,No,Not accessible; key to accessible washroom on west side of Fish House available at ticket booth,49.29303504,-123.146599,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Prospect Point,7:00 am - Dusk,7:00 am - Dusk,Yes,Wheelchair accessible,49.31241203,-123.14265,Parks
Stanley Park,2000 W Georgia Street,Washroom in Park,Prospect Point Picnic; fieldhouse,Dawn to Dusk,Dawn to Dusk,Yes,Wheelchair accessible,49.31055003,-123.148388,Parks
Strathcona Park,857 Malkin Avenue,Washroom in Park,South side; fieldhouse,Dawn to Dusk,Dawn to Dusk,No,N/A,49.27455701,-123.086189,Parks
Sunrise Park,1950 Windermere Street,Washroom in Park,North west corner; fieldhouse,Dawn to Dusk,Dawn to Dusk,No,N/A,49.26692299,-123.036018,Parks
Sunset Beach Park,1204 Beach Avenue,Washroom in Park,Concession,Dawn to Dusk,7:00 am - Dusk,No,Caretaker on site,49.27883701,-123.13795,Parks
Tatlow Park,2845 W 3rd Avenue,Washroom in Park,South; field house,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.26947601,-123.1695119,Parks
Trafalgar Park,2610 W 23rd Avenue,Washroom in Park,North side; fieldhouse,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.25155497,-123.163472,Parks
Trillium Park,600 National Avenue,Washroom in Park,,Dawn to 10:15 pm,Dawn to 10:15 pm,No,N/A,49.2748,-123.092911,Parks
VanDusen Botanical Garden,5251 Oak Street,Washroom in Park,Floral hall,Hours of operation only,Hours of operation only,No,N/A,49.23851045,-123.1286383,Parks
VanDusen Botanical Garden,5251 Oak Street,Washroom in Park,At front entrance,Hours of operation only,Hours of operation only,No,N/A,49.23865943,-123.1295576,Parks
Vanier Park,1000 Chestnut Street,Washroom in Park,Burrard Civic Marina,Dawn to Dusk,Dawn to Dusk,No,Sometimes later in summer,49.27519601,-123.1398559,Parks
Victoria Park,1425 Victoria Drive,Washroom in Park,West side,Dawn to Dusk,Dawn to Dusk,No,N/A,49.27174404,-123.067413,Parks
West Point Grey Park,2250 Trimble Street,Washroom in Park,Centre,Dawn to Dusk,Dawn to Dusk,No,N/A,49.26654154,-123.2045796,Parks
Winona Park,7575 Columbia Street,Washroom in Park,Fieldhouse,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.21571798,-123.1129489,Parks
Woodland Park,705 Woodland Drive,Washroom in Park,Central; field house,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.27836897,-123.07322,Parks
Main at Hastings,N/A,Comfort Station,SW corner of intersection,Men: 6am; Women: 8am to Midnight,Men: 6am; Women: 8am to Midnight,No,N/A,49.281107,-123.09985,City
Victory Square,N/A,Comfort Station,N/A,Men: 6am; Women: 8am to Midnight,Men: 6am; Women: 8am to Midnight,No,N/A,49.2825906,-123.110132,City
Main at Terminal,N/A,Automated Public Toilet,NE corner of intersection,24 hrs,24 hrs,Yes,Please call 311 for maintenance requests,49.2731387,-123.099778,City
Richards at Davie - Emery Barnes Park,N/A,Automated Public Toilet,NW corner of intersection,24 hrs,24 hrs,No,Please call 311 for maintenance requests,49.2760544,-123.124114,City
Nelson at Howe,N/A,Automated Public Toilet,NE corner of intersection,24 hrs,24 hrs,No,Please call 311 for maintenance requests,49.2796964,-123.123516,City
Powell at Main,N/A,Automated Public Toilet,NW corner of intersection,24 hrs,24 hrs,No,Please call 311 for maintenance requests,49.2832763,-123.099849,City
Robson at Richards,N/A,Automated Public Toilet,NW corner of intersection,24 hrs,24 hrs,No,Please call 311 for maintenance requests,49.2803243,-123.118054,City
Hastings at Carral - Pigeon Park,N/A,Automated Public Toilet,NW corner of intersection,24 hrs,24 hrs,No,Please call 311 for maintenance requests,49.2816384,-123.104602,City
Robson at Granville,N/A,Automated Public Toilet,NW corner of intersection,24 hrs,24 hrs,Yes,Please call 311 for maintenance requests,49.2816325,-123.120082,City
Bute at Davie,N/A,Automated Public Toilet,NE corner of intersection,24 hrs,24 hrs,No,Please call 311 for maintenance requests,49.2818541,-123.133141,City
Nelson Park,N/A,Automated Public Toilet,West side of park,24 hrs,24 hrs,Yes,Please call 311 for maintenance requests,49.283378,-123.130677,City
